Path 1,Path 2,Path 3,Path 4,Path 5,Path 6,URLs,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Hash,Length,Canonical Link Element 1,URL Encoded Address
,,,reference/,,,19,https://bgoonz-blog.netlify.app/docs/reference/,text/html;charset=UTF-8,200,OK,Indexable,,11d7175e57d188d0db76968e722131db,47,,https://bgoonz-blog.netlify.app/docs/reference/
,,,,how-to-kill-a-process/,,1,https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/,text/html;charset=UTF-8,200,OK,Indexable,,b90a3a7110f649cbd4809c3d123fd3cf,69,,https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/
,,,,intro-to-nodejs/,,1,https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/,text/html;charset=UTF-8,200,OK,Indexable,,7240800f2f41f1b25a46ab8c875f17d5,63,,https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/
,,,,resources/,,1,https://bgoonz-blog.netlify.app/docs/reference/resources/,text/html;charset=UTF-8,200,OK,Indexable,,cc404627fa575935fd8621bf6df5a24c,57,,https://bgoonz-blog.netlify.app/docs/reference/resources/
,,,,awesome-lists/,,1,https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/,text/html;charset=UTF-8,200,OK,Indexable,,cf2fb50d6ae64a7ab4fe589772159e63,61,,https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/
,,,,awesome-static/,,1,https://bgoonz-blog.netlify.app/docs/reference/awesome-static/,text/html;charset=UTF-8,200,OK,Indexable,,62ac1b40db1e0c343d980254405566a5,62,,https://bgoonz-blog.netlify.app/docs/reference/awesome-static/
,,,,google-cloud/,,1,https://bgoonz-blog.netlify.app/docs/reference/google-cloud/,text/html;charset=UTF-8,200,OK,Indexable,,85322bf332975d2ae60b1155507a9229,60,,https://bgoonz-blog.netlify.app/docs/reference/google-cloud/
,,,,embed-the-web/,,1,https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/,text/html;charset=UTF-8,200,OK,Indexable,,51b0802a8a5d80278d919cd7b1db886,61,,https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/
,,,,psql/,,1,https://bgoonz-blog.netlify.app/docs/reference/psql/,text/html;charset=UTF-8,200,OK,Indexable,,7d25e67fbacb7734b7bb6c056848c97b,52,,https://bgoonz-blog.netlify.app/docs/reference/psql/
,,,,installing-node/,,1,https://bgoonz-blog.netlify.app/docs/reference/installing-node/,text/html;charset=UTF-8,200,OK,Indexable,,b4e7ba9259cecf877b0a5093757bedc4,63,,https://bgoonz-blog.netlify.app/docs/reference/installing-node/
,,,,awesome-nodejs/,,1,https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/,text/html;charset=UTF-8,200,OK,Indexable,,2f8a34ed5fa6e9d38ded2afd21e4c642,62,,https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/
,,,,vscode/,,1,https://bgoonz-blog.netlify.app/docs/reference/vscode/,text/html;charset=UTF-8,200,OK,Indexable,,9a06e8b4be6a7a4d6d5fd7148dc8afcc,54,,https://bgoonz-blog.netlify.app/docs/reference/vscode/
,,,,bash-commands/,,1,https://bgoonz-blog.netlify.app/docs/reference/bash-commands/,text/html;charset=UTF-8,200,OK,Indexable,,4af7ef2e5d9233e95e07406c5a178adf,61,,https://bgoonz-blog.netlify.app/docs/reference/bash-commands/
,,,,bookmarks/,,1,https://bgoonz-blog.netlify.app/docs/reference/bookmarks/,text/html;charset=UTF-8,200,OK,Indexable,,249a398fc066966c5336870e8fce37aa,57,,https://bgoonz-blog.netlify.app/docs/reference/bookmarks/
,,,,how-2-reinstall-npm/,,1,https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/,text/html;charset=UTF-8,200,OK,Indexable,,b276740f2bbc559c35dbfdfea092fe8e,67,,https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/
,,,,notes-template/,,1,https://bgoonz-blog.netlify.app/docs/reference/notes-template/,text/html;charset=UTF-8,200,OK,Indexable,,62c4ceab2c4779894b2d2d001aa89379,62,,https://bgoonz-blog.netlify.app/docs/reference/notes-template/
,,,,web-api's/,,1,https://bgoonz-blog.netlify.app/docs/reference/web-api's/,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,57,,https://bgoonz-blog.netlify.app/docs/reference/web-api's/
,,,,github-search/,,1,https://bgoonz-blog.netlify.app/docs/reference/github-search/,text/html;charset=UTF-8,200,OK,Indexable,,cba2c170ed9aa2d8ca0589e4afdaec84,61,,https://bgoonz-blog.netlify.app/docs/reference/github-search/
,,,,markdown-styleguide/,,1,https://bgoonz-blog.netlify.app/docs/reference/markdown-styleguide/,text/html;charset=UTF-8,200,OK,Indexable,,4b57f1cb0d0521e5847c57447ed0e4f0,67,,https://bgoonz-blog.netlify.app/docs/reference/markdown-styleguide/
,,,tutorials/,,,2,https://bgoonz-blog.netlify.app/docs/tutorials/,text/html;charset=UTF-8,200,OK,Indexable,,fc88ad1c81c575996ae4dfb5fc04d139,47,,https://bgoonz-blog.netlify.app/docs/tutorials/
,,,,enviorment-setup/,,1,https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/,text/html; charset=utf-8,200,OK,Indexable,,3d76087f8510c6aac4ffaafb7de6b77d,64,,https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/
,,,community/,,,4,https://bgoonz-blog.netlify.app/docs/community/,text/html; charset=utf-8,200,OK,Indexable,,c77eeddba8de366275cffaf884759b73,47,,https://bgoonz-blog.netlify.app/docs/community/
,,,,bookmarks/,,1,https://bgoonz-blog.netlify.app/docs/community/bookmarks/,text/html;charset=UTF-8,200,OK,Indexable,,b3b5847af6046fc588d86223e6ec08a8,57,,https://bgoonz-blog.netlify.app/docs/community/bookmarks/
,,,,video-chat/,,1,https://bgoonz-blog.netlify.app/docs/community/video-chat/,text/html;charset=UTF-8,200,OK,Indexable,,4f8657da410ec159ea5d5e3a097ec1ee,58,,https://bgoonz-blog.netlify.app/docs/community/video-chat/
,,,,an-open-letter-2-future-developers/,,1,https://bgoonz-blog.netlify.app/docs/community/an-open-letter-2-future-developers/,text/html;charset=UTF-8,200,OK,Indexable,,edfa6062980c33df0a4d563ee139299,82,,https://bgoonz-blog.netlify.app/docs/community/an-open-letter-2-future-developers/
,,,projects,,,1,https://bgoonz-blog.netlify.app/docs/projects,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,45,,https://bgoonz-blog.netlify.app/docs/projects
,,,faq/,,,4,https://bgoonz-blog.netlify.app/docs/faq/,text/html;charset=UTF-8,200,OK,Indexable,,f905ca8400ea02e6722d9e97e1ba93c7,41,,https://bgoonz-blog.netlify.app/docs/faq/
,,,,contact,,1,https://bgoonz-blog.netlify.app/docs/faq/contact,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,48,,https://bgoonz-blog.netlify.app/docs/faq/contact
,,,,plug-ins/,,1,https://bgoonz-blog.netlify.app/docs/faq/plug-ins/,text/html;charset=UTF-8,200,OK,Indexable,,42b0d6cc29a770d17b3421e6ad4c4800,50,,https://bgoonz-blog.netlify.app/docs/faq/plug-ins/
,,,,contact/,,1,https://bgoonz-blog.netlify.app/docs/faq/contact/,text/html; charset=utf-8,200,OK,Indexable,,62e9dc5f50b578c6f5e99d222ed1a829,49,,https://bgoonz-blog.netlify.app/docs/faq/contact/
,,,docs/,,,17,https://bgoonz-blog.netlify.app/docs/docs/,text/html;charset=UTF-8,200,OK,Indexable,,9b935f5f74a8be0553d30687d121cd37,42,,https://bgoonz-blog.netlify.app/docs/docs/
,,,,node-docs-complete/,,1,https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/,text/html;charset=UTF-8,200,OK,Indexable,,c578ba85766dff43f5e198146d7d65fb,61,,https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/
,,,,bash/,,1,https://bgoonz-blog.netlify.app/docs/docs/bash/,text/html; charset=utf-8,200,OK,Indexable,,a7f7148514950a5e27899fc34374616d,47,,https://bgoonz-blog.netlify.app/docs/docs/bash/
,,,,no-whiteboarding/,,1,https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/,text/html;charset=UTF-8,200,OK,Indexable,,13b36115e5000969ec3a2d040bedf340,59,,https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/
,,,,sitemap/,,1,https://bgoonz-blog.netlify.app/docs/docs/sitemap/,text/html;charset=UTF-8,200,OK,Indexable,,a4a2b6a2e8f580c1bc32dfe8896b7638,50,,https://bgoonz-blog.netlify.app/docs/docs/sitemap/
,,,,es-6-features/,,1,https://bgoonz-blog.netlify.app/docs/docs/es-6-features/,text/html;charset=UTF-8,200,OK,Indexable,,c67dbd17c7fc226685314544eefe95d3,56,,https://bgoonz-blog.netlify.app/docs/docs/es-6-features/
,,,,node-docs-full/,,1,https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/,text/html;charset=UTF-8,200,OK,Indexable,,c00a67bbfdabdd7b4e49d33d520d02cf,57,,https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/
,,,,git-repos/,,1,https://bgoonz-blog.netlify.app/docs/docs/git-repos/,text/html;charset=UTF-8,200,OK,Indexable,,f1bf760126e1d5abfbbcb75018a2884c,52,,https://bgoonz-blog.netlify.app/docs/docs/git-repos/
,,,,appendix/,,1,https://bgoonz-blog.netlify.app/docs/docs/appendix/,text/html;charset=UTF-8,200,OK,Indexable,,2db40dd4cdbeef9405abe028be41f3c1,51,,https://bgoonz-blog.netlify.app/docs/docs/appendix/
,,,,css/,,1,https://bgoonz-blog.netlify.app/docs/docs/css/,text/html;charset=UTF-8,200,OK,Indexable,,1a4674348d2d66ad8e3c434103e4881c,46,,https://bgoonz-blog.netlify.app/docs/docs/css/
,,,,html-spec/,,1,https://bgoonz-blog.netlify.app/docs/docs/html-spec/,text/html;charset=UTF-8,200,OK,Indexable,,26da6db52630c920e6a7db0571b96c7,52,,https://bgoonz-blog.netlify.app/docs/docs/html-spec/
,,,,art-of-command-line/,,1,https://bgoonz-blog.netlify.app/docs/docs/art-of-command-line/,text/html;charset=UTF-8,200,OK,Indexable,,54201b0583b888d7ed96c2139211c6f2,62,,https://bgoonz-blog.netlify.app/docs/docs/art-of-command-line/
,,,,git-reference/,,1,https://bgoonz-blog.netlify.app/docs/docs/git-reference/,text/html;charset=UTF-8,200,OK,Indexable,,645d1ee605bdaa6ead0552838672128d,56,,https://bgoonz-blog.netlify.app/docs/docs/git-reference/
,,,,snippets/,,1,https://bgoonz-blog.netlify.app/docs/docs/snippets/,text/html;charset=UTF-8,200,OK,Indexable,,7553a1d8b0e7a4869594da34a9ae067e,51,,https://bgoonz-blog.netlify.app/docs/docs/snippets/
,,,,markdown/,,1,https://bgoonz-blog.netlify.app/docs/docs/markdown/,text/html;charset=UTF-8,200,OK,Indexable,,8f1040688f0cb0ba9f39f8979af65da1,51,,https://bgoonz-blog.netlify.app/docs/docs/markdown/
,,,,data-structures-docs/,,1,https://bgoonz-blog.netlify.app/docs/docs/data-structures-docs/,text/html;charset=UTF-8,200,OK,Indexable,,65c760fb5616787e689bc2208be63b16,63,,https://bgoonz-blog.netlify.app/docs/docs/data-structures-docs/
,,,,regex-in-js/,,1,https://bgoonz-blog.netlify.app/docs/docs/regex-in-js/,text/html;charset=UTF-8,200,OK,Indexable,,29f556c9cdfd074cc7003e23c0cf6107,54,,https://bgoonz-blog.netlify.app/docs/docs/regex-in-js/
,,,articles/,,,35,https://bgoonz-blog.netlify.app/docs/articles/,text/html;charset=UTF-8,200,OK,Indexable,,4ce386cfec1455e25420af9f1d905211,46,,https://bgoonz-blog.netlify.app/docs/articles/
,,,,nodejs/,,1,https://bgoonz-blog.netlify.app/docs/articles/nodejs/,text/html;charset=UTF-8,200,OK,Indexable,,97337497b05b64c87b0b624baadf8a16,53,,https://bgoonz-blog.netlify.app/docs/articles/nodejs/
,,,,webdev-tools/,,1,https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/,text/html;charset=UTF-8,200,OK,Indexable,,75e27aee60791eb7af07cbc2f156c753,59,,https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/
,,,,reading-files/,,1,https://bgoonz-blog.netlify.app/docs/articles/reading-files/,text/html; charset=utf-8,200,OK,Indexable,,a7939516e5cba52e477b78c28ea6632f,60,,https://bgoonz-blog.netlify.app/docs/articles/reading-files/
,,,,node-cli-args/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/,text/html;charset=UTF-8,200,OK,Indexable,,3ee81e0f3ed30482fe93de3465d8fb54,60,,https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/
,,,,node-package-manager/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/,text/html;charset=UTF-8,200,OK,Indexable,,99efb1527bde86a98ab0e4327c15617b,67,,https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/
,,,,npm/,,1,https://bgoonz-blog.netlify.app/docs/articles/npm/,text/html;charset=UTF-8,200,OK,Indexable,,6722e9b2aa7cca81b8d747ae37f3725b,50,,https://bgoonz-blog.netlify.app/docs/articles/npm/
,,,,install/,,1,https://bgoonz-blog.netlify.app/docs/articles/install/,text/html;charset=UTF-8,200,OK,Indexable,,6f7fe83c6499709122b2bd207464ea11,54,,https://bgoonz-blog.netlify.app/docs/articles/install/
,,,,fs-module/,,1,https://bgoonz-blog.netlify.app/docs/articles/fs-module/,text/html;charset=UTF-8,200,OK,Indexable,,c3fe8a47c9799d9512d9fa5950b32267,56,,https://bgoonz-blog.netlify.app/docs/articles/fs-module/
,,,,intro/,,1,https://bgoonz-blog.netlify.app/docs/articles/intro/,,0,Connection Timeout,Non-Indexable,No Response,,52,,https://bgoonz-blog.netlify.app/docs/articles/intro/
,,,,the-uniform-resource-locator-(url)/,,1,https://bgoonz-blog.netlify.app/docs/articles/the-uniform-resource-locator-(url)/,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,81,,https://bgoonz-blog.netlify.app/docs/articles/the-uniform-resource-locator-(url)/
,,,,semantic-html/,,1,https://bgoonz-blog.netlify.app/docs/articles/semantic-html/,text/html;charset=UTF-8,200,OK,Indexable,,57ead6cc99b799e0ee5460002f23dcf8,60,,https://bgoonz-blog.netlify.app/docs/articles/semantic-html/
,,,,semantic/,,1,https://bgoonz-blog.netlify.app/docs/articles/semantic/,text/html; charset=utf-8,200,OK,Indexable,,97305b3bb53be061f292dad4aca00540,55,,https://bgoonz-blog.netlify.app/docs/articles/semantic/
,,,,node-js-language/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-js-language/,text/html;charset=UTF-8,200,OK,Indexable,,3a10fabefe33724f28ef7deb27ddccec,63,,https://bgoonz-blog.netlify.app/docs/articles/node-js-language/
,,,,node-repl/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-repl/,text/html; charset=utf-8,200,OK,Indexable,,ed6db1281be434ad966192a32cbe3333,56,,https://bgoonz-blog.netlify.app/docs/articles/node-repl/
,,,,basic-web-dev/,,1,https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/,text/html;charset=UTF-8,200,OK,Indexable,,3306882b40aa8f0c1d784d0bc8b6aee7,60,,https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/
,,,,v8/,,1,https://bgoonz-blog.netlify.app/docs/articles/v8/,text/html;charset=UTF-8,200,OK,Indexable,,bc2384a7923310435a31177226f85ec4,49,,https://bgoonz-blog.netlify.app/docs/articles/v8/
,,,,understanding-firebase/,,1,https://bgoonz-blog.netlify.app/docs/articles/understanding-firebase/,text/html;charset=UTF-8,200,OK,Indexable,,9e664999e9d748f42c4791f0a7cf71b,69,,https://bgoonz-blog.netlify.app/docs/articles/understanding-firebase/
,,,,writing-files/,,1,https://bgoonz-blog.netlify.app/docs/articles/writing-files/,text/html; charset=utf-8,200,OK,Indexable,,99cd5b0505fdd9cd24af1000b68f42e6,60,,https://bgoonz-blog.netlify.app/docs/articles/writing-files/
,,,,os-module/,,1,https://bgoonz-blog.netlify.app/docs/articles/os-module/,text/html;charset=UTF-8,200,OK,Indexable,,b3c62381140e7ba84fdfc592b0559378,56,,https://bgoonz-blog.netlify.app/docs/articles/os-module/
,,,,node-run-cli/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-run-cli/,text/html;charset=UTF-8,200,OK,Indexable,,fba7dccd2db320b9884e80fa3819df4a,59,,https://bgoonz-blog.netlify.app/docs/articles/node-run-cli/
,,,,npx/,,1,https://bgoonz-blog.netlify.app/docs/articles/npx/,text/html;charset=UTF-8,200,OK,Indexable,,7662681bab08e358e2092517a2dd846e,50,,https://bgoonz-blog.netlify.app/docs/articles/npx/
,,,,nodevsbrowser/,,1,https://bgoonz-blog.netlify.app/docs/articles/nodevsbrowser/,text/html;charset=UTF-8,200,OK,Indexable,,9c469e2a2c4675bcc472b295dd803068,60,,https://bgoonz-blog.netlify.app/docs/articles/nodevsbrowser/
,,,,how-the-web-works/,,1,https://bgoonz-blog.netlify.app/docs/articles/how-the-web-works/,text/html;charset=UTF-8,200,OK,Indexable,,283898c8f485790c22d6c78bf11048ac,64,,https://bgoonz-blog.netlify.app/docs/articles/how-the-web-works/
,,,,web-standards-checklist/,,1,https://bgoonz-blog.netlify.app/docs/articles/web-standards-checklist/,text/html;charset=UTF-8,200,OK,Indexable,,201088e6712f37afc5589c311250d501,70,,https://bgoonz-blog.netlify.app/docs/articles/web-standards-checklist/
,,,,modules/,,1,https://bgoonz-blog.netlify.app/docs/articles/modules/,text/html;charset=UTF-8,200,OK,Indexable,,bee7e9f0f6dc3e80e3627a46374f914e,54,,https://bgoonz-blog.netlify.app/docs/articles/modules/
,,,,how-search-engines-work/,,1,https://bgoonz-blog.netlify.app/docs/articles/how-search-engines-work/,text/html;charset=UTF-8,200,OK,Indexable,,7700d968591f230bcb99235a6a8dd6f9,70,,https://bgoonz-blog.netlify.app/docs/articles/how-search-engines-work/
,,,,dev-dep/,,1,https://bgoonz-blog.netlify.app/docs/articles/dev-dep/,text/html;charset=UTF-8,200,OK,Indexable,,e1fb9b2d2278bb31c4cfbb7754592162,54,,https://bgoonz-blog.netlify.app/docs/articles/dev-dep/
,,,,node-env-variables/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-env-variables/,text/html;charset=UTF-8,200,OK,Indexable,,18d10629817259b036c99e479021e656,65,,https://bgoonz-blog.netlify.app/docs/articles/node-env-variables/
,,,,buffers/,,1,https://bgoonz-blog.netlify.app/docs/articles/buffers/,text/html;charset=UTF-8,200,OK,Indexable,,cfe5f88caeecd73c734b31b0d4642699,54,,https://bgoonz-blog.netlify.app/docs/articles/buffers/
,,,,node-common-modules/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-common-modules/,text/html;charset=UTF-8,200,OK,Indexable,,bb71c440e8216b5ed3317d9250b9a338,66,,https://bgoonz-blog.netlify.app/docs/articles/node-common-modules/
,,,,event-loop/,,1,https://bgoonz-blog.netlify.app/docs/articles/event-loop/,,0,Connection Timeout,Non-Indexable,No Response,,57,,https://bgoonz-blog.netlify.app/docs/articles/event-loop/
,,,,http/,,1,https://bgoonz-blog.netlify.app/docs/articles/http/,text/html;charset=UTF-8,200,OK,Indexable,,59a71ce576219119eec79ef8ce7bc95b,51,,https://bgoonz-blog.netlify.app/docs/articles/http/
,,,,nextjs/,,1,https://bgoonz-blog.netlify.app/docs/articles/nextjs/,text/html;charset=UTF-8,200,OK,Indexable,,f843aa76f0fe9c074bfd173712ca2703,53,,https://bgoonz-blog.netlify.app/docs/articles/nextjs/
,,,,node-api-express/,,1,https://bgoonz-blog.netlify.app/docs/articles/node-api-express/,text/html; charset=utf-8,200,OK,Indexable,,3e589db3a0a298fd8997a821e2c7fb2e,63,,https://bgoonz-blog.netlify.app/docs/articles/node-api-express/
,,,quick-reference/,,,18,https://bgoonz-blog.netlify.app/docs/quick-reference/,text/html;charset=UTF-8,200,OK,Indexable,,315f35ae51036244380e6fa17144b7c8,53,,https://bgoonz-blog.netlify.app/docs/quick-reference/
,,,,vscode-themes/,,1,https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/,text/html;charset=UTF-8,200,OK,Indexable,,20f4196596e92e37982370815b4f206e,67,,https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/
,,,,Emmet/,,1,https://bgoonz-blog.netlify.app/docs/quick-reference/Emmet/,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,59,,https://bgoonz-blog.netlify.app/docs/quick-reference/Emmet/
