"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"","","","","mini-projects2/","","1","https://bgoonz-blog.netlify.app/docs/projects/mini-projects2/","","0","Connection Timeout","Non-Indexable","No Response","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","2","","171","170","0","97.700","0","0","0","0","0","0","","","","","","","","","","","","https://bgoonz-blog.netlify.app/docs/projects/mini-projects2/","2022-01-05 20:34:16"
"","","","","mini-projects/","","1","https://bgoonz-blog.netlify.app/docs/projects/mini-projects/","text/html;charset=UTF-8","200","OK","Indexable","","Mini Projects","13","113","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Mini Projects","13","","0","Jump to Section","15","","0","","","","","","","","","","273992","683","2.545","2","","179","170","0","97.700","209","198","0","153","79","0","","","","","fc71e4b9df5f05120a8bd148766ed17e","0.248","","","","","1.1","https://bgoonz-blog.netlify.app/docs/projects/mini-projects/","2022-01-05 20:35:55"
"","","","python/","","","12","https://bgoonz-blog.netlify.app/docs/python/","text/html;charset=UTF-8","200","OK","Indexable","","Python | webdevhub","18","177","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Python","6","Python Resources","16","My Python Docs:","15","My Python Website","17","","","","","","","","","","263588","3748","9.780","1","","180","171","0","98.280","219","198","0","59","47","0","","","","","e28c0cecd912022fa21d4ed22eefbef0","0.331","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/","2022-01-05 20:32:41"
"","","","","python-ds","","1","https://bgoonz-blog.netlify.app/docs/python/python-ds","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","39","0","0.000","1","","175","174","0","100.000","0","0","0","0","0","0","","","","","","1.412","","https://bgoonz-blog.netlify.app/docs/python/python-ds/","HTTP Redirect","","1.1","https://bgoonz-blog.netlify.app/docs/python/python-ds","2022-01-05 20:32:17"
"","","","","functions/","","1","https://bgoonz-blog.netlify.app/docs/python/functions/","text/html; charset=utf-8","200","OK","Indexable","","lorem-ipsum | webdevhub","23","224","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","lorem-ipsum","11","","0","Functions","9","Jump to Section","15","","","","","","","","","","260090","405","2.524","2","","179","170","0","97.700","210","199","0","51","46","0","","","","","d8fcf82a26031f1ac8ea74185150c667","4.434","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/functions/","2022-01-05 20:32:50"
"","","","","examples/","","1","https://bgoonz-blog.netlify.app/docs/python/examples/","text/html; charset=utf-8","200","OK","Indexable","","Practice | webdevhub","20","189","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Practice","8","Python Problems & Solutions For Beginners","41","Python Practice:","16","Create and execute a program","28","","","","","","","","","","297249","5388","11.871","2","","179","170","0","97.700","210","199","0","64","53","0","","","","","21796decb39ba2208685a9a815ee6ff1","5.981","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/examples/","2022-01-05 20:34:24"
"","","","","python-ds/","","1","https://bgoonz-blog.netlify.app/docs/python/python-ds/","text/html;charset=UTF-8","200","OK","Indexable","","Python General Notes | webdevhub","32","310","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Python General Notes","20","","0","Python Notes","12","DOCS:","5","","","","","","","","","","280398","6602","15.561","2","","179","170","0","97.700","209","198","0","63","57","0","","","","","21bdece44e5f7e674db5bd7d88d2dc4b","0.265","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/python-ds/","2022-01-05 20:34:50"
"","","","","snippets/","","1","https://bgoonz-blog.netlify.app/docs/python/snippets/","text/html;charset=UTF-8","200","OK","Indexable","","Python Snippets | webdevhub","27","259","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Python Snippets","15","Python Snippets","15","unlisted: true","14","unlisted: true","14","","","","","","","","","","317544","10576","20.137","2","","179","170","0","97.700","209","198","0","54","49","0","","","","","77da4a88da404af8a09acb6b0fcc25d8","0.241","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/snippets/","2022-01-05 20:34:56"
"","","","","intro-for-js-devs/","","1","https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/","text/html;charset=UTF-8","200","OK","Indexable","","lorem-ipsum | webdevhub","23","224","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","lorem-ipsum","11","","0","Lorem ipsum","11","Jump to Section","15","","","","","","","","","","229187","39","1.912","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","15a71f35dd44e74bc663501db075c27a","0.187","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/","2022-01-05 20:35:12"
"","","","","comprehensive-guide/","","1","https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/","text/html;charset=UTF-8","200","OK","Indexable","","lorem-ipsum | webdevhub","23","224","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","lorem-ipsum","11","","0","Comprehensive Python Guide","26","The Zen of Python","17","","","","","","","","","","375845","14689","25.666","2","","529","170","0","97.700","559","198","0","63","58","0","","","","","ae652116ed41f32eb2dcfc5010987593","0.284","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/","2022-01-05 20:35:26"
"","","","","flow-control/","","1","https://bgoonz-blog.netlify.app/docs/python/flow-control/","text/html;charset=UTF-8","200","OK","Indexable","","lorem-ipsum | webdevhub","23","224","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","lorem-ipsum","11","","0","Flow Control:","13","Read It","7","","","","","","","","","","235481","687","3.385","2","","179","170","0","97.700","209","198","0","52","47","0","","","","","82cebc64edcda4a92cf2003c5cc3493d","0.274","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/flow-control/","2022-01-05 20:35:49"
"","","","","google-sheets-api/","","1","https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/","text/html;charset=UTF-8","200","OK","Indexable","","google-sheets-api | webdevhub","29","274","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","google-sheets-api","17","Setting Up the API","18","Step 1: Create a Google Cloud Platform project","46","Step 2: Create Credentials","26","","","","","","","","","","237541","1233","4.789","2","","179","170","0","97.700","209","198","0","57","52","0","","","","","81cc24f99ac45f3cb6c828aa5e271732","0.239","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/","2022-01-05 20:35:55"
"","","","","at-length/","","1","https://bgoonz-blog.netlify.app/docs/python/at-length/","text/html;charset=UTF-8","200","OK","Indexable","","Python at length","16","141","Python at length","16","103","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Python at length","16","","0","Python syntax was made for readability, and easy editing. For example, the python language uses a : and indented code, while javascript and others generally use {} and indented code.","182","README","6","","","","","","","","","","641688","51782","45.198","2","","179","170","0","97.700","209","198","0","79","56","0","","","","","c5a07a61e1521b18d62217e2cd2cc9f8","0.263","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/at-length/","2022-01-05 20:36:10"
"","","","","cheat-sheet/","","1","https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/","text/html;charset=UTF-8","200","OK","Indexable","","python cheat sheet","18","166","cheat sheet for python developers","33","216","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Python Cheat Sheet","18","Python Cheat Sheet","18","Lorem ipsum","11","Python Basics","13","","","","","","","","","","360013","15256","27.745","2","","181","170","0","97.700","211","198","0","57","52","0","","","","","6eade7ad68276043d4bf2f995a13fda8","0.297","","","","","1.1","https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/","2022-01-05 20:36:43"
"","","","content/","","","7","https://bgoonz-blog.netlify.app/docs/content/","text/html;charset=UTF-8","200","OK","Indexable","","Manage Content","14","145","This is the manage content page","31","207","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Content","7","","0","Jump to Section","15","","0","","","","","","","","","","255663","35","1.697","1","","181","171","0","98.280","215","198","0","184","178","0","","","","","cffada4a6b9dd28b62ace156fb64ac49","0.297","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/","2022-01-05 20:32:20"
"","","","","gatsby-Queries-Mutations/","","1","https://bgoonz-blog.netlify.app/docs/content/gatsby-Queries-Mutations/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","39","0","0.000","2","","171","170","0","97.700","0","0","0","0","0","0","","","","","","1.082","","https://bgoonz-blog.netlify.app/docs/content/gatsby-queries-mutations/","HTTP Redirect","","1.1","https://bgoonz-blog.netlify.app/docs/content/gatsby-Queries-Mutations/","2022-01-05 20:33:01"
"","","","","history-api/","","1","https://bgoonz-blog.netlify.app/docs/content/history-api/","text/html; charset=utf-8","200","OK","Indexable","","History API | webdevhub","23","216","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","History API","11","History Api","11","Concepts and usage","18","Interfaces","10","","","","","","","","","","272747","1635","5.219","2","","179","170","0","97.700","210","199","0","113","71","0","","","","","f4018345fe9d305d0f8b04e1ff4dabc7","5.494","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/history-api/","2022-01-05 20:33:35"
"","","","","archive/","","1","https://bgoonz-blog.netlify.app/docs/content/archive/","text/html;charset=UTF-8","200","OK","Indexable","","Archive | webdevhub","19","181","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Archive","7","Archives:","9","Jump to Section","15","","0","","","","","","","","","","267854","2780","11.391","2","","179","170","0","97.700","209","198","0","191","185","0","","","","","8d4fe917239b0129fd93dddb1e9bd417","0.290","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/archive/","2022-01-05 20:34:31"
"","","","","main-projects/","","1","https://bgoonz-blog.netlify.app/docs/content/main-projects/","text/html;charset=UTF-8","200","OK","Indexable","","RECENT PROJECTS | webdevhub","27","307","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","RECENT PROJECTS","15","Potluck Planner","15","Jump to Section","15","","0","","","","","","","","","","229352","35","1.891","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","2314269b86a105c6789878b25ad9ad04","0.277","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/main-projects/","2022-01-05 20:34:57"
"","","","","algo/","","1","https://bgoonz-blog.netlify.app/docs/content/algo/","text/html;charset=UTF-8","200","OK","Indexable","","Algorithms & Data Structures","28","255","A reference for suggested typographic treatment and styles for your content","75","479","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Algorithms & Data Structures","28","Fundamental Data Structures In JavaScript","41","Data structures in JavaScript","29","Resources (article content below):","34","","","","","","","","","","284067","5491","15.293","2","","179","170","0","97.700","209","198","0","86","81","0","","","","","e6aa847aa68c36a12142ad20b0367067","0.496","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/algo/","2022-01-05 20:35:27"
"","","","","trouble-shooting/","","1","https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/","text/html;charset=UTF-8","200","OK","Indexable","","Trouble Shooting | webdevhub","28","265","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Trouble Shooting","16","Trouble Shooting Log","20","Jump to Section","15","","0","","","","","","","","","","229574","16","1.849","2","","180","170","0","97.700","209","198","0","48","43","0","","","","","d0aa2b8cacaf32b4ba20946ed2af6523","0.276","","","","","1.1","https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/","2022-01-05 20:36:29"
"","","","reference/","","","19","https://bgoonz-blog.netlify.app/docs/reference/","text/html;charset=UTF-8","200","OK","Indexable","","Reference | webdevhub","21","208","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Reference","9","Reference:","10","Jump to Section","15","","0","","","","","","","","","","231264","86","2.015","1","","180","171","0","98.280","228","199","0","48","43","0","","","","","11d7175e57d188d0db76968e722131db","0.289","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/","2022-01-05 20:32:21"
"","","","","how-to-kill-a-process/","","1","https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","text/html;charset=UTF-8","200","OK","Indexable","","Kill a Process in Linux | webdevhub","35","307","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Kill a Process in Linux","23","How to Kill a Process in Linux","30","Jump to Section","15","","0","","","","","","","","","","235294","1056","4.244","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","b90a3a7110f649cbd4809c3d123fd3cf","0.403","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","2022-01-05 20:32:55"
"","","","","intro-to-nodejs/","","1","https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","text/html;charset=UTF-8","200","OK","Indexable","","Intro To NodeJS | webdevhub","27","261","Node.js is an open-source and cross-platform JavaScript runtime environment. It is a popular tool for almost any kind of project!","129","800","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Intro To NodeJS","15","Extended Version:","17","Enter the NodeJS","16","A Vast Number of Libraries","26","","","","","","","","","","279136","6086","15.052","2","","179","170","0","97.700","209","198","0","125","109","0","","","","","7240800f2f41f1b25a46ab8c875f17d5","0.286","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","2022-01-05 20:32:59"
"","","","","resources/","","1","https://bgoonz-blog.netlify.app/docs/reference/resources/","text/html;charset=UTF-8","200","OK","Indexable","","Developer Resources | webdevhub","31","306","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Developer Resources","19","","0","MOAR!","5","Jump to Section","15","","","","","","","","","","293599","2191","6.067","2","","179","170","0","97.700","210","199","0","457","412","0","","","","","cc404627fa575935fd8621bf6df5a24c","0.251","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/resources/","2022-01-05 20:33:36"
"","","","","awesome-lists/","","1","https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/","text/html;charset=UTF-8","200","OK","Indexable","","Awesome Lists | webdevhub","25","251","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Awesome Lists","13","","0","Awesome Lists:","14","Jump to Section","15","","","","","","","","","","365315","2414","10.469","2","","179","170","0","97.700","209","198","0","1248","643","0","","","","","cf2fb50d6ae64a7ab4fe589772159e63","0.243","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/","2022-01-05 20:33:57"
"","","","","awesome-static/","","1","https://bgoonz-blog.netlify.app/docs/reference/awesome-static/","text/html;charset=UTF-8","200","OK","Indexable","","Awesome Static Site Resources | webdevhub","41","400","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Awesome Static Site Resources","29","Awesome Static Site Resources","29","Table of Contents","17","Audio","5","","","","","","","","","","247970","1990","6.388","2","","203","170","0","97.700","233","198","0","181","175","0","","","","","62ac1b40db1e0c343d980254405566a5","0.337","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/awesome-static/","2022-01-05 20:33:59"
"","","","","google-cloud/","","1","https://bgoonz-blog.netlify.app/docs/reference/google-cloud/","text/html;charset=UTF-8","200","OK","Indexable","","Google Cloud | webdevhub","24","237","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Google Cloud","12","","0","The gcloud cheat sheet","22","Cheat sheet","11","","","","","","","","","","242505","1290","5.022","2","","179","170","0","97.700","209","198","0","109","97","0","","","","","85322bf332975d2ae60b1155507a9229","0.279","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/google-cloud/","2022-01-05 20:33:59"
"","","","","embed-the-web/","","1","https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/","text/html;charset=UTF-8","200","OK","Indexable","","lorem-ipsum | webdevhub","23","224","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","lorem-ipsum","11","","0","Lorem ipsum","11","Jump to Section","15","","","","","","","","","","229011","39","1.913","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","51b0802a8a5d80278d919cd7b1db886","0.250","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/","2022-01-05 20:34:41"
"","","","","psql/","","1","https://bgoonz-blog.netlify.app/docs/reference/psql/","text/html;charset=UTF-8","200","OK","Indexable","","Postgresql Cheat Sheet | webdevhub","34","326","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Postgresql Cheat Sheet","22","Postgresql Cheat Sheet","22","Jump to Section","15","","0","","","","","","","","","","248259","1669","5.989","2","","179","170","0","97.700","209","198","0","84","71","0","","","","","7d25e67fbacb7734b7bb6c056848c97b","0.399","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/psql/","2022-01-05 20:34:42"
"","","","","installing-node/","","1","https://bgoonz-blog.netlify.app/docs/reference/installing-node/","text/html;charset=UTF-8","200","OK","Indexable","","Installing Node | webdevhub","27","245","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Installing Node","15","","0","Android","7","Arch Linux","10","","","","","","","","","","241458","1174","4.869","2","","179","170","0","97.700","209","198","0","112","74","0","","","","","b4e7ba9259cecf877b0a5093757bedc4","0.351","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/installing-node/","2022-01-05 20:34:46"
"","","","","awesome-nodejs/","","1","https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/","text/html;charset=UTF-8","200","OK","Indexable","","Awesome NodeJS | webdevhub","26","279","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Awesome NodeJS","14","","0","Official","8","Packages","8","","","","","","","","","","310002","6766","14.558","2","","179","170","0","97.700","209","198","0","696","688","0","","","","","2f8a34ed5fa6e9d38ded2afd21e4c642","0.239","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/","2022-01-05 20:34:48"
"","","","","vscode/","","1","https://bgoonz-blog.netlify.app/docs/reference/vscode/","text/html;charset=UTF-8","200","OK","Indexable","","vscode","6","62","This is the vscode page","23","150","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","vscode","6","Everything You Need to Get Started With VSCode + Extensions & Resources","71","Jump to Section","15","","0","","","","","","","","","","290531","3070","8.217","2","","179","170","0","97.700","209","198","0","234","220","0","","","","","9a06e8b4be6a7a4d6d5fd7148dc8afcc","0.261","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/vscode/","2022-01-05 20:34:57"
"","","","","bash-commands/","","1","https://bgoonz-blog.netlify.app/docs/reference/bash-commands/","text/html;charset=UTF-8","200","OK","Indexable","","Bash-Commands","13","150","This is the Bash-Commands page","30","213","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Bash-Commands","13","To find files by case-insensitive extension (ex: .jpg, .JPG, .jpG):","67","My Commands:","12","Jump to Section","15","","","","","","","","","","285215","6845","17.291","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","4af7ef2e5d9233e95e07406c5a178adf","0.261","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/bash-commands/","2022-01-05 20:35:03"
"","","","","bookmarks/","","1","https://bgoonz-blog.netlify.app/docs/reference/bookmarks/","text/html;charset=UTF-8","200","OK","Indexable","","Web Dev Bookmarks | webdevhub","29","303","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Web Dev Bookmarks","17","Frontend Development","20","Web Dev Bookmarks","17","Appearance","10","","","","","","","","","","555021","33411","37.243","2","","179","170","0","97.700","209","198","0","1421","996","0","","","","","249a398fc066966c5336870e8fce37aa","0.470","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/bookmarks/","2022-01-05 20:35:10"
"","","","","how-2-reinstall-npm/","","1","https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/","text/html;charset=UTF-8","200","OK","Indexable","","How To Reinstall NPM and Node.js On Your System | webdevhub","59","576","","0","0","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","How To Reinstall NPM and Node.js On Your System","47","","0","How to check if reinstallation succeeded","40","How to reinstall npm and Node.js on Windows","43","","","","","","","","","","249144","2797","8.557","2","","179","170","0","97.700","209","198","0","70","56","0","","","","","b276740f2bbc559c35dbfdfea092fe8e","0.291","","","","","1.1","https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/","2022-01-05 20:35:12"
