"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/","2","This is the vscode-themes page","30","201","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/my-websites/","2","This is the My Sites page","25","158","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/dont-use-index-as-keys/","2","Let me explain, a _key_ is the only thing React uses to identify DOM elements. What happens if you push an item to the list or remove something in the middle? If the _key_ is same as before React assumes that the DOM element represents the same component as before. But that is no longer true.","293","1878","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/functions/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/reading-files/","2","The simplest way to read a file in Node.js is to use the fs.readFile() method, passing it the file path, encoding and a callback function that will be called","157","942","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/video-chat/","2","Features:
Group Voice and Video Call with unlimited members
Live Streaming
Screen Sharing
Supports video streaming at various resolutions.","138","898","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/review/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/eng-portfolio/","2","This is an Engineering Portfolio page that contains a powerpoint portfolio of my work as an electrical engineer!","112","693","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/","2","When you install a package using npm you can perform 2 types of installation:
a local install
a global install

By default, when you type an npm install command, like:
the package is installed in the current file tree, under the node_modules subfolder.","252","1549","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/bash/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","2","Node.js is an open-source and cross-platform JavaScript runtime environment. It is a popular tool for almost any kind of project!","129","800","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/sitemap/","2","Sitemap","7","51","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/all-emojis/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/new-repo-instructions/","2","This is the new-repo-git page","29","184","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/job-search/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/insert-into-array/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/discrete-fft/","2","Visualizing the Discrete Fourier Transform","42","265","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/resume/","2","Successfully completed and delivered a platform to digitize a guitar signal and perform filtering before executing frequency & time domain analysis to track a current performance against prerecorded performance.","211","1331","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/resources/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/history-api/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/","2","This is my markdown notes tempate","33","225","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/minifiction/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/installation/","2","This is the installation page","29","172","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/markdown-dropdowns/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/jupyter-notebooks/","2","Jupyter Notebooks allow us to combine the power of a python script with the simplicity of a markdown file","105","653","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/es-6-features/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-tricks/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/this-is-about-this/","2","Arrow functions are great because the inner value of this cant be changed, its *always* the same as the outer this.","115","717","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/git-repos/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-static/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/google-cloud/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/intrests/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/npm/","2","npm is the standard package manager for Node.js.
In January 2017 over 350000 packages were reported being listed in the npm registry.","133","866","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/install/","2","This is the Install page","24","141","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/google-firebase/","2","Add Firebase to your JavaScript project Note:","45","286","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/bookmarks/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/ajax-n-apis/","2","You can use any AJAX library you like with React. Some popular ones are Axios, jQuery AJAX, and the browser built-in window.fetch.","130","829","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/","2","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/fs-module/","2","Fs-Module","9","67","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/render-elements/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/cheatsheet/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/examples/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/archive/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/pull-request-rubric/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/demo/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic-html/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic/","2","Semantic Versioning using npm","29","198","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/quick-links/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/appendix/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-js-language/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-bash/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/interview-dos-n-donts/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react-docs/","2","We will examine the building blocks of React apps: elements and components.
Once you master them, you can create complex apps from small reusable
pieces.","153","1005","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/psql/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/css/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/asyncjs/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/await-keyword/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-repl/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/installing-node/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/","2","Review-Of-Previous-Concepts","27","190","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/web-audio-api/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/html-spec/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/v8/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/audio-feature-extraction/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/understanding-firebase/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/python-ds/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/writing-files/","2","This is the Writing Files page. The easiest way to write to files in Node.js is to use the fs.writeFile() API. const fs = require('fs');","136","789","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/plug-ins/","2","This is the Gatsby Plugins For This Sites Content Model page","60","388","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/dev-interview/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/snippets/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/vscode/","2","This is the vscode page","23","150","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/main-projects/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/callstack-visual/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/art-of-command-line/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/video-chat/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/heroku-error-codes/","2","embeded developer tools and utilities","37","235","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/","2","Application, Back-end, Bootstrap, Browser, Caching, Code, CSS, Content Management System (CMS) , Cookies, Domain Name ,Frameworks, Front-end, JavaScript, Python","160","1081","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/clock/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/bash-commands/","2","This is the Bash-Commands page","30","213","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/git-reference/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/os-module/","2","OS-Module","9","71","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-run-cli/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/bookmarks/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/contact/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/dev-utilities/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/npx/","2","npx is a very cool way to run Node.js code, and provides many useful features","77","490","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/data-structures/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodevsbrowser/","2","Both the browser and Node.js use JavaScript as their programming language.You can pass any number of arguments when invoking a Node.js application using","152","1005","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/review-concepts/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/snippets/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/how-the-web-works/","2","Perhaps the first thing to establish in our discussion of the web is what exactly it is. This chapter will look in brief overview at the core technologies that go together to make the World Wide Web.","199","1211","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/notes-template/","2","This is my markdown notes tempate","33","225","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/algo/","2","A reference for suggested typographic treatment and styles for your content","75","479","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/clean-code/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/understanding-path/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/markdown/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/other-sites/","2","This is the typography page","27","176","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/","2","embeded developer tools and utilities","37","235","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/web-standards-checklist/","2","as an aid for developers who are interested in moving towards web standards","75","487","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/constructor-functions/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/jsx/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/modules/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/flow-control/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/an-open-letter-2-future-developers/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/array-methods/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/markdown-html/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/mini-projects/","2","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/data-structures-docs/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react-in-depth/","2","React embraces the fact that rendering logic is inherently coupled with
other UI logic: how events are handled, how the state changes over time.","144","903","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/job-boards/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/at-length/","2","Python at length","16","103","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/sorting-strings/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/how-search-engines-work/","2","hardware performance and cost have improved dramatically to partially offset the difficulty. There are, however, several notable exceptions to this progress such as disk seek time and operating system robustness. In designing Google, we have considered both the rate of growth of the Web and technological changes. Google is designed to scale well to extremely large data sets. It makes efficient use of storage space to store the index. Its data structures are optimized for fast and efficient access (see section 4.2). Further, we expect that the cost to index and store text or HTML will eventually decline relative to the amount that will be available (see Appendix B). This will result in favorable scaling properties for centralized systems like Google.","759","4689","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/dev-dep/","2","install an npm package using npm install you are installing it as a dependency. (npm install --production) to avoid installing those development dependencies.","158","989","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/bigo/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-env-variables/","2","When you want to import something you use

const library = require('./library');","80","488","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/audio/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/buffers/","2","A buffer is an area of memory. JavaScript developers are not familiar with this concept, much less than C, C++ or Go developers","127","805","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/regex-in-js/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/github-search/","2","The Search API helps you search for the specific item you want to find. For example, you can find a user or a specific file in a repository. Think of it the way you think of performing a search on Google. It's designed to help you find the one result you're looking for (or maybe the few results you're looking for). Just like searching on Google, you sometimes want to see a few pages of search results so that you can find the item that best meets your needs. To satisfy that need, the GitHub Search API provides **up to 1,000 results for each search**.:","556","3436","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-common-modules/","2","This section is similar to a blog but is more technical in nature and time invariant with regard to content.","108","648","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dfft/","2","The discrete Fourier transform operates on sampled data,
in contrast to the standard Fourier transform which is
defined for continuous functions.","145","913","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/psql-setup/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/markdown-styleguide/","2","This document contains a description of all rules, what they are checking for, as well as examples of documents that break the rule and corrected versions of the examples.","171","1075","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/promises/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/","2","cheat sheet for python developers","33","216","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/http/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nextjs/","2","NextJS is a JavaScript framework. It lets you build server-side rendering and static web applications using React. It’s a great tool to build your next website. It has many great features and advantages, which can make Nextjs your first option for building your next web application.","283","1735","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dynamic-time-warping/","2","dynamic-time-warping","20","137","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react2/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/arrow-functions/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/create-react-app/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-api-express/","2","Review-Of-Previous-Concepts","27","190","Learning about Web Development.","31","220","Indexable",""
