"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/docs/content/history-api/","2","History API","11","History Api","11","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/","2","Embeded Websites & Projects","27","Family Promise Project:","23","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/minifiction/","1","How To Minify Code For Better Web Performance","45","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/installation/","2","Installation","12","Basic Web Development Environment Setup","39","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/markdown-dropdowns/","2","Markdown Dropdown","17","Markdown Dropdown:","18","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/jupyter-notebooks/","1","Jupyter Notebooks","17","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/es-6-features/","1","ECMAScript 6","12","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-tricks/","1","Git Tricks","10","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/","2","Node Docs","9","How much JavaScript do you need to know to use Node.js","54","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/this-is-about-this/","2","WhatisTHIS","10","What is THIS","12","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/","1","Awesome Lists","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/git-repos/","2","Git Repo List","13","My Repos:","9","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-static/","2","Awesome Static Site Resources","29","Awesome Static Site Resources","29","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/google-cloud/","1","Google Cloud","12","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/intrests/","1","Youtube","7","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/npm/","1","Introduction to npm","19","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/install/","1","Install","7","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/google-firebase/","1","Firebase (Firebasics)","21","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/bookmarks/","2","Bookmarks","9","Bookmarks","9","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/ajax-n-apis/","2","AJAX and APIs","13","AJAX and APIs – React","21","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/","2","List Of Projects","16","More:","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/fs-module/","1","Fs-Module","9","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/render-elements/","2","Rendering Elements With React","29","Rendering Elements","18","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/cheatsheet/","2","React Cheat Sheets:","19","React Patterns:","15","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/examples/","2","Practice","8","Python Problems & Solutions For Beginners","41","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/archive/","2","Archive","7","Archives:","9","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/pull-request-rubric/","1","Pull Request Template","21","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/demo/","1","React Class Components Demo","27","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic-html/","2","Web Design","10","A View of HTML","14","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/semantic/","1","Semantic Versioning","19","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/quick-links/","2","Quick Links","11","Gitbook Websites:","17","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/appendix/","2","Apendix","7","index","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-js-language/","2","packagejson","11","Cheat Sheet:","12","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/git-bash/","2","Git Bash","8","Git Bash‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌","23","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/interview-dos-n-donts/","1","Do & Don't of Interviewing!","27","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react-docs/","2","React Docs","10","React:","6","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/embed-the-web/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/psql/","2","Postgresql Cheat Sheet","22","Postgresql Cheat Sheet","22","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/css/","2","Learn Css","9","Learn CSS","9","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/asyncjs/","2","AsynchAsynchronous JavaScript","29","Async functions:","16","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/await-keyword/","2","Await","5","await","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-repl/","1","The-package-lock.json-file","26","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/installing-node/","1","Installing Node","15","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/","2","Web Dev Review","14","Review-Of-Previous-Concepts","27","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/web-audio-api/","2","Web Apis","8","Basic concepts behind Web Audio API","35","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/html-spec/","1","HTML SPEC","9","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/v8/","1","npm global or local packages","28","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/awesome-nodejs/","1","Awesome NodeJS","14","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/audio-feature-extraction/","1","Audio Feature Extraction","24","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/understanding-firebase/","2","Firebase","8","Understand Firebase projects","28","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/python-ds/","1","Python General Notes","20","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/writing-files/","1","Writing Files","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/plug-ins/","1","Plug-ins","8","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/dev-interview/","1","Developer Interview Questions","29","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/snippets/","2","Python Snippets","15","Python Snippets","15","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/vscode/","2","vscode","6","Everything You Need to Get Started With VSCode + Extensions & Resources","71","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/main-projects/","2","RECENT PROJECTS","15","Potluck Planner","15","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/callstack-visual/","1","Callstack Visualizer","20","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/art-of-command-line/","1","Command Line Basics","19","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/video-chat/","2","Video Chat","10","Zumzi Instant Messenger","23","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/heroku-error-codes/","2","Heroku Error Codes","18","Heroku Error Codes","18","Indexable",""
"https://bgoonz-blog.netlify.app/docs/","2","Docs","4","Go To Sitemap: Go Now -->","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/clock/","1","Clock","5","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/bash-commands/","2","Bash-Commands","13","To find files by case-insensitive extension (ex: .jpg, .JPG, .jpG):","67","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/git-reference/","1","Git Reference","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/os-module/","2","OS-Module","9","This module provides many functions that you can use to retrieve information from the underlying operating system and the computer the program runs on, and interact with it.","173","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-run-cli/","1","node-cli-args","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/bookmarks/","2","Web Dev Bookmarks","17","Frontend Development","20","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/contact/","1","Contact!","8","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/dev-utilities/","2","General Utilities","17","Semvar Checker","14","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-2-reinstall-npm/","1","How To Reinstall NPM and Node.js On Your System","47","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/npx/","2","The npx Node.js Package Runner","30","NPX:","4","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/data-structures/","2","Data Structures","15","Algorithms","10","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodevsbrowser/","1","Node vs Browser","15","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/review-concepts/","2","Review Of Concepts","18","Review-Of-Previous-Concepts","27","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/snippets/","2","Useful Snippets","15","A Very Quick Guide To Calculating Big O Computational Complexity","64","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/how-the-web-works/","1","How The Web Works","17","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/notes-template/","2","Notes Template","14","Title","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/algo/","2","Algorithms & Data Structures","28","Fundamental Data Structures In JavaScript","41","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/clean-code/","2","Clean Code","10","clean-code-javascript","21","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/understanding-path/","1","Understanding PATH","18","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/markdown/","1","Markdown","8","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/other-sites/","2","Other Websites","14","Here are some other websites I have worked on since endeavoring to learn web development!","89","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/","2","Enviorment Setup Tutorial","25","Basic Web Development Environment Setup","39","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/web-standards-checklist/","1","Web Standards Checklist","23","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/constructor-functions/","1","Constructor Functions","21","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/jsx/","2","Introducing JSX","15","Introducing JSX","15","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/modules/","2","Node Modules System","19","Modules in Javascript","21","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/flow-control/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/an-open-letter-2-future-developers/","1","New Developers","14","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/","2","google-sheets-api","17","Setting Up the API","18","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/array-methods/","1","Tips","4","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/markdown-html/","2","md and html","11","Paste To Markdown","17","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/mini-projects/","1","Mini Projects","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/data-structures-docs/","2","Data Structures Docs","20","Data Structures are a specialized means of organizing and storing data in computers in such a way that we can perform operations on the stored data more efficiently. Data structures have a wide and diverse scope of usage across the fields of Computer Science and Software Engineering.Image by author","299","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react-in-depth/","2","React In Depth","14","React In Depth","14","Indexable",""
"https://bgoonz-blog.netlify.app/docs/career/job-boards/","2","Job Board","9","Job Boards","10","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/at-length/","1","Python at length","16","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/sorting-strings/","1","Sorting Strings","15","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/how-search-engines-work/","2","The Anatomy of a Search Engine","30","The Anatomy of a Search Engine","30","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/dev-dep/","1","Dev Dependencies","16","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/bigo/","2","A Very Quick Guide To Calculating Big O Computational Complexity","64","A Very Quick Guide To Calculating Big O Computational Complexity","64","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-env-variables/","1","Node Export Module","18","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/audio/","1","Audio","5","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/buffers/","1","Node Buffers","12","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/regex-in-js/","2","Regular Expressions","19","Regular Expressions","19","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/github-search/","2","Github Search","13","Search","6","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-common-modules/","1","Common Modules","14","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/","2","Trouble Shooting","16","Trouble Shooting Log","20","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dfft/","2","Discrete Fast Fourier Transform","31","Frequency and the fast Fourier transform","40","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/psql-setup/","2","PostgreSQL Setup","16","PostgreSQL Setup For Windows & WSL/Ubuntu","41","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/markdown-styleguide/","2","Markdown Lint Styleguide","24","Rules","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/promises/","1","Promises","8","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/","2","Python Cheat Sheet","18","Python Cheat Sheet","18","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/http/","1","The HTTP Protocol","17","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nextjs/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dynamic-time-warping/","2","dynamic-time-warping","20","Dynamic Time Warping Triggered Guitar Effects Project:","54","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/react2/","2","Intro To React","14","Introduction to React for Complete Beginners","44","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/arrow-functions/","1","JS Fat Arrow Functions","22","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/create-react-app/","2","Getting Started W Create React App","34","Getting Started with Create React App","37","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-api-express/","1","Node APIs With Express","22","","0","Indexable",""
